"TABLA_PUENTE_LINEA_ID","TABLA_PUENTE_ID","ORIGEN_SERVICIO","DESTINO_SERVICIO","SERVICIO","CONCEPTO_MODALIDAD","FORMA_PAGO","CANTIDAD","NO_LINEA","LINEA_ARTICULO","UNIDAD_MEDIDA","REFERENCIA_APLICACION","SUBTOTAL","CODIGO_IVA","TASA_IVA","MONTO_IVA","CODIGO_RETENCION_IVA","TASA_RET_IVA","MONTO_RET_IVA","CODIGO_RETENCION_ISR","TASA_RET_ISR","MONTO_RET_ISR","TOTAL","CREATION_DATE","CREATED_BY","LAST_UPDATE_DATE","LAST_UPDATED_BY","LAST_UPDATE_LOGIN"
2418837,957685,"","","INTERMEDIO TTP","","EFE",1,2,"BOLETOS DE AUTOBUS","","08082115TPP01ITPT",-155.17,"TAS-IVAAR16%",-16,-24.83,"",0,0,"",0,0,-180,09/08/21,1,09/08/21,1,
2418838,957686,"","","PULLMAN PRIMERA CLASE","","BBV",1,1,"BOLETOS DE AUTOBUS","","08082115ERP04PERT",46364.36,"TAS-IVAAR16%",16,7419.14,"",0,0,"",0,0,53783.5,09/08/21,1,09/08/21,1,
2418839,957687,"","","PULLMAN PRIMERA CLASE ER","","EFE",1,1,"BOLETOS DE AUTOBUS","","080821113ERP01PERT",302.58,"TAS-IVAAR16%",16,48.42,"",0,0,"",0,0,351,09/08/21,1,09/08/21,1,
2418805,957661,"","","INTERMEDIO","TERCEROS-ER","BBV",1,1,"BOLETOS DE AUTOBUS","","080821113ERT04ITPT",631,"TAS-IVAAR16%",16,101,"",0,0,"",0,0,732,09/08/21,1,09/08/21,1,
2418806,957662,"","","INTERMEDIO ATH","","EFE",1,1,"BOLETOS DE AUTOBUS","","08082117TPP01IATHT",1144,"TAS-IVAEXE",0,0,"",0,0,"",0,0,1144,09/08/21,1,09/08/21,1,
2418807,957663,"","","INTERMEDIO TTP","PUNTO A BORDO","SOC",1,1,"BOLETOS DE AUTOBUS","","08082120ERT16ITPT",228,"TAS-IVAEXE",0,0,"",0,0,"",0,0,228,09/08/21,1,09/08/21,1,
2418808,957664,"","","INTERMEDIO TTP","PUNTO A BORDO","SOC",1,1,"BOLETOS DE AUTOBUS","","08082120ERT16ITPT",196.56,"TAS-IVAAR16%",16,31.44,"",0,0,"",0,0,228,09/08/21,1,09/08/21,1,
2418809,957665,"","","PULLMAN PRIMERA CLASE","","AMX",1,1,"BOLETOS DE AUTOBUS","","080821156ERP44PERT",101.72,"TAS-IVAAR16%",16,16.28,"",0,0,"",0,0,118,09/08/21,1,09/08/21,1,
2418810,957666,"","","PULLMAN PRIMERA CLASE","","EFE",1,1,"BOLETOS DE AUTOBUS","","080821279ERP01PERT",13032.91,"TAS-IVAAR16%",16,2085.09,"",0,0,"",0,0,15118,09/08/21,1,09/08/21,1,
2418811,957666,"","","PULLMAN PRIMERA CLASE","","EFE",1,2,"BOLETOS DE AUTOBUS","","080821279ERP01PERT",-175,"TAS-IVAAR16%",-16,-28,"",0,0,"",0,0,-203,09/08/21,1,09/08/21,1,
